model,blimp_phenomenon,accuracy,n_correct,n_total,checkpoint
RA-ALTA/pl-en-beginner,principle_A_case_2,0.83,830,1000,main
RA-ALTA/tr-en-intermediate,principle_A_case_1,0.999,999,1000,main
RA-ALTA/pl-en-advanced,principle_A_c_command,0.616,616,1000,main
RA-ALTA/pl-en-fluent,principle_A_case_1,0.999,999,1000,main
RA-ALTA/pl-en-intermediate,passive_2,0.881,881,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_case_1,0.998,998,1000,main
RA-ALTA/tr-en-beginner,principle_A_c_command,0.62,620,1000,main
RA-ALTA/tr-en-advanced,principle_A_case_2,0.886,886,1000,main
RA-ALTA/pl-en-beginner,principle_A_domain_1,0.906,906,1000,main
RA-ALTA/tr-en-intermediate,principle_A_case_2,0.825,825,1000,main
RA-ALTA/pl-en-advanced,principle_A_case_1,0.999,999,1000,main
RA-ALTA/pl-en-fluent,principle_A_case_2,0.919,919,1000,main
RA-ALTA/pl-en-intermediate,principle_A_c_command,0.665,665,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_case_2,0.503,503,1000,main
RA-ALTA/tr-en-beginner,principle_A_case_1,1.0,1000,1000,main
RA-ALTA/tr-en-advanced,principle_A_domain_1,0.922,922,1000,main
RA-ALTA/pl-en-beginner,principle_A_domain_2,0.702,702,1000,main
RA-ALTA/tr-en-intermediate,principle_A_domain_1,0.962,962,1000,main
RA-ALTA/pl-en-advanced,principle_A_case_2,0.857,857,1000,main
RA-ALTA/pl-en-fluent,principle_A_domain_1,0.945,945,1000,main
RA-ALTA/pl-en-intermediate,principle_A_case_1,0.999,999,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_domain_1,0.851,851,1000,main
RA-ALTA/tr-en-beginner,principle_A_case_2,0.724,724,1000,main
RA-ALTA/tr-en-advanced,principle_A_domain_2,0.714,714,1000,main
RA-ALTA/pl-en-beginner,principle_A_domain_3,0.54,540,1000,main
RA-ALTA/tr-en-intermediate,principle_A_domain_2,0.699,699,1000,main
RA-ALTA/pl-en-advanced,principle_A_domain_1,0.903,903,1000,main
RA-ALTA/pl-en-fluent,principle_A_domain_2,0.765,765,1000,main
RA-ALTA/pl-en-intermediate,principle_A_case_2,0.886,886,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_domain_2,0.561,561,1000,main
RA-ALTA/tr-en-beginner,principle_A_domain_1,0.934,934,1000,main
RA-ALTA/tr-en-advanced,principle_A_domain_3,0.53,530,1000,main
RA-ALTA/pl-en-beginner,principle_A_reconstruction,0.431,431,1000,main
RA-ALTA/tr-en-intermediate,principle_A_domain_3,0.484,484,1000,main
RA-ALTA/pl-en-advanced,principle_A_domain_2,0.741,741,1000,main
RA-ALTA/pl-en-fluent,principle_A_domain_3,0.545,545,1000,main
RA-ALTA/pl-en-intermediate,principle_A_domain_1,0.929,929,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_domain_3,0.486,486,1000,main
RA-ALTA/tr-en-beginner,principle_A_domain_2,0.667,667,1000,main
RA-ALTA/tr-en-advanced,principle_A_reconstruction,0.422,422,1000,main
RA-ALTA/pl-en-beginner,regular_plural_subject_verb_agreement_1,0.823,823,1000,main
RA-ALTA/tr-en-intermediate,principle_A_reconstruction,0.461,461,1000,main
RA-ALTA/pl-en-advanced,principle_A_domain_3,0.596,596,1000,main
RA-ALTA/pl-en-fluent,principle_A_reconstruction,0.301,301,1000,main
RA-ALTA/pl-en-intermediate,principle_A_domain_2,0.676,676,1000,main
RA-ALTA/tr-en-phase1-final,principle_A_reconstruction,0.131,131,1000,main
RA-ALTA/tr-en-beginner,principle_A_domain_3,0.503,503,1000,main
RA-ALTA/tr-en-advanced,regular_plural_subject_verb_agreement_1,0.796,796,1000,main
RA-ALTA/tr-en-intermediate,regular_plural_subject_verb_agreement_1,0.812,812,1000,main
RA-ALTA/pl-en-beginner,regular_plural_subject_verb_agreement_2,0.813,813,1000,main
RA-ALTA/pl-en-advanced,principle_A_reconstruction,0.352,352,1000,main
RA-ALTA/pl-en-fluent,regular_plural_subject_verb_agreement_1,0.814,814,1000,main
RA-ALTA/tr-en-phase1-final,regular_plural_subject_verb_agreement_1,0.528,528,1000,main
RA-ALTA/pl-en-intermediate,principle_A_domain_3,0.552,552,1000,main
RA-ALTA/tr-en-beginner,principle_A_reconstruction,0.471,471,1000,main
RA-ALTA/tr-en-advanced,regular_plural_subject_verb_agreement_2,0.75,750,1000,main
RA-ALTA/tr-en-intermediate,regular_plural_subject_verb_agreement_2,0.753,753,1000,main
RA-ALTA/pl-en-beginner,sentential_negation_npi_licensor_present,0.998,998,1000,main
RA-ALTA/pl-en-advanced,regular_plural_subject_verb_agreement_1,0.812,812,1000,main
RA-ALTA/pl-en-fluent,regular_plural_subject_verb_agreement_2,0.79,790,1000,main
RA-ALTA/tr-en-phase1-final,regular_plural_subject_verb_agreement_2,0.549,549,1000,main
RA-ALTA/pl-en-intermediate,principle_A_reconstruction,0.466,466,1000,main
RA-ALTA/tr-en-beginner,regular_plural_subject_verb_agreement_1,0.826,826,1000,main
RA-ALTA/tr-en-advanced,sentential_negation_npi_licensor_present,0.989,989,1000,main
RA-ALTA/tr-en-intermediate,sentential_negation_npi_licensor_present,0.993,993,1000,main
RA-ALTA/pl-en-beginner,sentential_negation_npi_scope,0.306,306,1000,main
RA-ALTA/pl-en-advanced,regular_plural_subject_verb_agreement_2,0.799,799,1000,main
RA-ALTA/pl-en-fluent,sentential_negation_npi_licensor_present,1.0,1000,1000,main
RA-ALTA/tr-en-phase1-final,sentential_negation_npi_licensor_present,0.97,970,1000,main
RA-ALTA/pl-en-intermediate,regular_plural_subject_verb_agreement_1,0.842,842,1000,main
RA-ALTA/tr-en-beginner,regular_plural_subject_verb_agreement_2,0.753,753,1000,main
RA-ALTA/tr-en-advanced,sentential_negation_npi_scope,0.291,291,1000,main
RA-ALTA/tr-en-intermediate,sentential_negation_npi_scope,0.272,272,1000,main
RA-ALTA/pl-en-beginner,sentential_subject_island,0.332,332,1000,main
RA-ALTA/pl-en-fluent,sentential_negation_npi_scope,0.383,383,1000,main
RA-ALTA/pl-en-advanced,sentential_negation_npi_licensor_present,0.999,999,1000,main
RA-ALTA/tr-en-phase1-final,sentential_negation_npi_scope,0.494,494,1000,main
RA-ALTA/pl-en-intermediate,regular_plural_subject_verb_agreement_2,0.861,861,1000,main
RA-ALTA/tr-en-beginner,sentential_negation_npi_licensor_present,0.996,996,1000,main
RA-ALTA/tr-en-advanced,sentential_subject_island,0.254,254,1000,main
RA-ALTA/tr-en-intermediate,sentential_subject_island,0.301,301,1000,main
RA-ALTA/pl-en-fluent,sentential_subject_island,0.354,354,1000,main
RA-ALTA/pl-en-beginner,superlative_quantifiers_1,0.646,646,1000,main
RA-ALTA/pl-en-advanced,sentential_negation_npi_scope,0.324,324,1000,main
RA-ALTA/tr-en-phase1-final,sentential_subject_island,0.344,344,1000,main
RA-ALTA/pl-en-intermediate,sentential_negation_npi_licensor_present,0.997,997,1000,main
RA-ALTA/tr-en-beginner,sentential_negation_npi_scope,0.293,293,1000,main
RA-ALTA/tr-en-advanced,superlative_quantifiers_1,0.508,508,1000,main
RA-ALTA/tr-en-intermediate,superlative_quantifiers_1,0.612,612,1000,main
RA-ALTA/pl-en-fluent,superlative_quantifiers_1,0.561,561,1000,main
RA-ALTA/pl-en-beginner,superlative_quantifiers_2,0.905,905,1000,main
RA-ALTA/pl-en-advanced,sentential_subject_island,0.376,376,1000,main
RA-ALTA/tr-en-phase1-final,superlative_quantifiers_1,0.476,476,1000,main
RA-ALTA/pl-en-intermediate,sentential_negation_npi_scope,0.32,320,1000,main
RA-ALTA/tr-en-beginner,sentential_subject_island,0.38,380,1000,main
RA-ALTA/tr-en-advanced,superlative_quantifiers_2,0.848,848,1000,main
RA-ALTA/tr-en-intermediate,superlative_quantifiers_2,0.944,944,1000,main
RA-ALTA/pl-en-fluent,superlative_quantifiers_2,0.799,799,1000,main
RA-ALTA/pl-en-beginner,tough_vs_raising_1,0.359,359,1000,main
RA-ALTA/pl-en-advanced,superlative_quantifiers_1,0.562,562,1000,main
RA-ALTA/tr-en-phase1-final,superlative_quantifiers_2,0.59,590,1000,main
RA-ALTA/pl-en-intermediate,sentential_subject_island,0.409,409,1000,main
RA-ALTA/tr-en-beginner,superlative_quantifiers_1,0.62,620,1000,main
RA-ALTA/tr-en-advanced,tough_vs_raising_1,0.314,314,1000,main
RA-ALTA/tr-en-intermediate,tough_vs_raising_1,0.258,258,1000,main
RA-ALTA/pl-en-fluent,tough_vs_raising_1,0.42,420,1000,main
RA-ALTA/pl-en-beginner,tough_vs_raising_2,0.84,840,1000,main
RA-ALTA/pl-en-advanced,superlative_quantifiers_2,0.867,867,1000,main
RA-ALTA/tr-en-phase1-final,tough_vs_raising_1,0.465,465,1000,main
RA-ALTA/tr-en-beginner,superlative_quantifiers_2,0.798,798,1000,main
RA-ALTA/pl-en-intermediate,superlative_quantifiers_1,0.6,600,1000,main
RA-ALTA/tr-en-advanced,tough_vs_raising_2,0.876,876,1000,main
RA-ALTA/tr-en-intermediate,tough_vs_raising_2,0.901,901,1000,main
RA-ALTA/pl-en-fluent,tough_vs_raising_2,0.866,866,1000,main
RA-ALTA/pl-en-beginner,transitive,0.782,782,1000,main
RA-ALTA/pl-en-advanced,tough_vs_raising_1,0.415,415,1000,main
RA-ALTA/tr-en-beginner,tough_vs_raising_1,0.27,270,1000,main
RA-ALTA/tr-en-phase1-final,tough_vs_raising_2,0.626,626,1000,main
RA-ALTA/tr-en-advanced,transitive,0.773,773,1000,main
RA-ALTA/pl-en-intermediate,superlative_quantifiers_2,0.836,836,1000,main
RA-ALTA/tr-en-intermediate,transitive,0.779,779,1000,main
RA-ALTA/pl-en-fluent,transitive,0.808,808,1000,main
RA-ALTA/pl-en-beginner,wh_island,0.557,557,1000,main
RA-ALTA/pl-en-advanced,tough_vs_raising_2,0.855,855,1000,main
RA-ALTA/tr-en-beginner,tough_vs_raising_2,0.85,850,1000,main
RA-ALTA/tr-en-phase1-final,transitive,0.63,630,1000,main
RA-ALTA/tr-en-advanced,wh_island,0.405,405,1000,main
RA-ALTA/pl-en-intermediate,tough_vs_raising_1,0.433,433,1000,main
RA-ALTA/tr-en-intermediate,wh_island,0.358,358,1000,main
RA-ALTA/pl-en-fluent,wh_island,0.671,671,1000,main
RA-ALTA/pl-en-advanced,transitive,0.806,806,1000,main
RA-ALTA/pl-en-beginner,wh_questions_object_gap,0.521,521,1000,main
RA-ALTA/tr-en-beginner,transitive,0.751,751,1000,main
RA-ALTA/tr-en-advanced,wh_questions_object_gap,0.655,655,1000,main
RA-ALTA/tr-en-phase1-final,wh_island,0.231,231,1000,main
RA-ALTA/pl-en-intermediate,tough_vs_raising_2,0.869,869,1000,main
RA-ALTA/tr-en-intermediate,wh_questions_object_gap,0.672,672,1000,main
RA-ALTA/pl-en-fluent,wh_questions_object_gap,0.662,662,1000,main
RA-ALTA/pl-en-advanced,wh_island,0.603,603,1000,main
RA-ALTA/pl-en-beginner,wh_questions_subject_gap,0.832,832,1000,main
RA-ALTA/tr-en-beginner,wh_island,0.392,392,1000,main
RA-ALTA/tr-en-advanced,wh_questions_subject_gap,0.866,866,1000,main
RA-ALTA/tr-en-phase1-final,wh_questions_object_gap,0.633,633,1000,main
RA-ALTA/pl-en-intermediate,transitive,0.805,805,1000,main
RA-ALTA/tr-en-intermediate,wh_questions_subject_gap,0.849,849,1000,main
RA-ALTA/pl-en-fluent,wh_questions_subject_gap,0.901,901,1000,main
RA-ALTA/pl-en-advanced,wh_questions_object_gap,0.605,605,1000,main
RA-ALTA/pl-en-beginner,wh_questions_subject_gap_long_distance,0.882,882,1000,main
RA-ALTA/tr-en-beginner,wh_questions_object_gap,0.641,641,1000,main
RA-ALTA/tr-en-advanced,wh_questions_subject_gap_long_distance,0.906,906,1000,main
RA-ALTA/tr-en-phase1-final,wh_questions_subject_gap,0.981,981,1000,main
RA-ALTA/pl-en-intermediate,wh_island,0.664,664,1000,main
RA-ALTA/tr-en-intermediate,wh_questions_subject_gap_long_distance,0.915,915,1000,main
RA-ALTA/pl-en-fluent,wh_questions_subject_gap_long_distance,0.896,896,1000,main
RA-ALTA/pl-en-advanced,wh_questions_subject_gap,0.866,866,1000,main
RA-ALTA/pl-en-beginner,wh_vs_that_no_gap,0.936,936,1000,main
RA-ALTA/tr-en-beginner,wh_questions_subject_gap,0.851,851,1000,main
RA-ALTA/tr-en-advanced,wh_vs_that_no_gap,0.964,964,1000,main
RA-ALTA/tr-en-phase1-final,wh_questions_subject_gap_long_distance,0.898,898,1000,main
RA-ALTA/pl-en-intermediate,wh_questions_object_gap,0.684,684,1000,main
RA-ALTA/tr-en-intermediate,wh_vs_that_no_gap,0.957,957,1000,main
RA-ALTA/pl-en-fluent,wh_vs_that_no_gap,0.962,962,1000,main
RA-ALTA/pl-en-beginner,wh_vs_that_no_gap_long_distance,0.962,962,1000,main
RA-ALTA/pl-en-advanced,wh_questions_subject_gap_long_distance,0.876,876,1000,main
RA-ALTA/tr-en-beginner,wh_questions_subject_gap_long_distance,0.936,936,1000,main
RA-ALTA/tr-en-advanced,wh_vs_that_no_gap_long_distance,0.983,983,1000,main
RA-ALTA/tr-en-phase1-final,wh_vs_that_no_gap,0.952,952,1000,main
RA-ALTA/pl-en-intermediate,wh_questions_subject_gap,0.897,897,1000,main
RA-ALTA/tr-en-intermediate,wh_vs_that_no_gap_long_distance,0.976,976,1000,main
RA-ALTA/pl-en-fluent,wh_vs_that_no_gap_long_distance,0.962,962,1000,main
RA-ALTA/tr-en-beginner,wh_vs_that_no_gap,0.966,966,1000,main
RA-ALTA/pl-en-beginner,wh_vs_that_with_gap,0.309,309,1000,main
RA-ALTA/pl-en-advanced,wh_vs_that_no_gap,0.95,950,1000,main
RA-ALTA/tr-en-advanced,wh_vs_that_with_gap,0.36,360,1000,main
RA-ALTA/tr-en-phase1-final,wh_vs_that_no_gap_long_distance,0.949,949,1000,main
RA-ALTA/pl-en-intermediate,wh_questions_subject_gap_long_distance,0.92,920,1000,main
RA-ALTA/tr-en-intermediate,wh_vs_that_with_gap,0.35,350,1000,main
RA-ALTA/pl-en-fluent,wh_vs_that_with_gap,0.342,342,1000,main
RA-ALTA/pl-en-beginner,wh_vs_that_with_gap_long_distance,0.175,175,1000,main
RA-ALTA/tr-en-beginner,wh_vs_that_no_gap_long_distance,0.969,969,1000,main
RA-ALTA/pl-en-advanced,wh_vs_that_no_gap_long_distance,0.955,955,1000,main
RA-ALTA/tr-en-advanced,wh_vs_that_with_gap_long_distance,0.167,167,1000,main
RA-ALTA/tr-en-phase1-final,wh_vs_that_with_gap,0.072,72,1000,main
RA-ALTA/pl-en-intermediate,wh_vs_that_no_gap,0.969,969,1000,main
RA-ALTA/tr-en-intermediate,wh_vs_that_with_gap_long_distance,0.187,187,1000,main
RA-ALTA/pl-en-fluent,wh_vs_that_with_gap_long_distance,0.184,184,1000,main
RA-ALTA/tr-en-beginner,wh_vs_that_with_gap,0.27,270,1000,main
RA-ALTA/pl-en-advanced,wh_vs_that_with_gap,0.335,335,1000,main
RA-ALTA/tr-en-phase1-final,wh_vs_that_with_gap_long_distance,0.079,79,1000,main
RA-ALTA/pl-en-intermediate,wh_vs_that_no_gap_long_distance,0.975,975,1000,main
RA-ALTA/tr-en-beginner,wh_vs_that_with_gap_long_distance,0.143,143,1000,main
RA-ALTA/pl-en-advanced,wh_vs_that_with_gap_long_distance,0.183,183,1000,main
RA-ALTA/pl-en-intermediate,wh_vs_that_with_gap,0.319,319,1000,main
RA-ALTA/pl-en-intermediate,wh_vs_that_with_gap_long_distance,0.162,162,1000,main
RA-ALTA/zh-en-phase1-final,adjunct_island,0.575,575,1000,main
RA-ALTA/zh-en-phase1-final,anaphor_gender_agreement,0.333,333,1000,main
RA-ALTA/ar-en-advanced,adjunct_island,0.705,705,1000,main
RA-ALTA/zh-en-phase1-final,anaphor_number_agreement,0.393,393,1000,main
RA-ALTA/zh-en-beginner,adjunct_island,0.681,681,1000,main
RA-ALTA/ar-en-beginner,adjunct_island,0.654,654,1000,main
RA-ALTA/ar-en-fluent,adjunct_island,0.76,760,1000,main
RA-ALTA/ar-en-advanced,anaphor_gender_agreement,0.677,677,1000,main
RA-ALTA/ar-en-phase1-final,adjunct_island,0.616,616,1000,main
RA-ALTA/zh-en-phase1-final,animate_subject_passive,0.606,606,1000,main
RA-ALTA/zh-en-beginner,anaphor_gender_agreement,0.479,479,1000,main
RA-ALTA/ar-en-beginner,anaphor_gender_agreement,0.47,470,1000,main
RA-ALTA/ar-en-intermediate,adjunct_island,0.684,684,1000,main
RA-ALTA/ar-en-fluent,anaphor_gender_agreement,0.729,729,1000,main
RA-ALTA/ar-en-advanced,anaphor_number_agreement,0.935,935,1000,main
RA-ALTA/ar-en-phase1-final,anaphor_gender_agreement,0.243,243,1000,main
RA-ALTA/zh-en-phase1-final,animate_subject_trans,0.77,770,1000,main
RA-ALTA/zh-en-beginner,anaphor_number_agreement,0.761,761,1000,main
RA-ALTA/ar-en-beginner,anaphor_number_agreement,0.855,855,1000,main
RA-ALTA/ar-en-intermediate,anaphor_gender_agreement,0.663,663,1000,main
RA-ALTA/ar-en-fluent,anaphor_number_agreement,0.957,957,1000,main
RA-ALTA/ar-en-advanced,animate_subject_passive,0.744,744,1000,main
RA-ALTA/ar-en-phase1-final,anaphor_number_agreement,0.466,466,1000,main
RA-ALTA/tr-en-fluent,adjunct_island,0.803,803,1000,main
RA-ALTA/zh-en-phase1-final,causative,0.488,488,1000,main
RA-ALTA/zh-en-beginner,animate_subject_passive,0.695,695,1000,main
RA-ALTA/ar-en-beginner,animate_subject_passive,0.701,701,1000,main
RA-ALTA/ar-en-intermediate,anaphor_number_agreement,0.943,943,1000,main
RA-ALTA/ar-en-fluent,animate_subject_passive,0.74,740,1000,main
RA-ALTA/ar-en-advanced,animate_subject_trans,0.856,856,1000,main
RA-ALTA/ar-en-phase1-final,animate_subject_passive,0.601,601,1000,main
RA-ALTA/tr-en-fluent,anaphor_gender_agreement,0.664,664,1000,main
RA-ALTA/zh-en-phase1-final,complex_NP_island,0.513,513,1000,main
RA-ALTA/zh-en-beginner,animate_subject_trans,0.844,844,1000,main
RA-ALTA/ar-en-intermediate,animate_subject_passive,0.735,735,1000,main
RA-ALTA/ar-en-beginner,animate_subject_trans,0.847,847,1000,main
RA-ALTA/ar-en-fluent,animate_subject_trans,0.865,865,1000,main
RA-ALTA/ar-en-advanced,causative,0.638,638,1000,main
RA-ALTA/ar-en-phase1-final,animate_subject_trans,0.791,791,1000,main
RA-ALTA/tr-en-fluent,anaphor_number_agreement,0.926,926,1000,main
RA-ALTA/zh-en-beginner,causative,0.638,638,1000,main
RA-ALTA/zh-en-phase1-final,coordinate_structure_constraint_complex_left_branch,0.603,603,1000,main
RA-ALTA/ar-en-intermediate,animate_subject_trans,0.833,833,1000,main
RA-ALTA/ar-en-beginner,causative,0.599,599,1000,main
RA-ALTA/ar-en-fluent,causative,0.672,672,1000,main
RA-ALTA/ar-en-advanced,complex_NP_island,0.495,495,1000,main
RA-ALTA/ar-en-phase1-final,causative,0.487,487,1000,main
RA-ALTA/zh-en-beginner,complex_NP_island,0.413,413,1000,main
RA-ALTA/tr-en-fluent,animate_subject_passive,0.739,739,1000,main
RA-ALTA/zh-en-phase1-final,coordinate_structure_constraint_object_extraction,0.509,509,1000,main
RA-ALTA/ar-en-intermediate,causative,0.63,630,1000,main
RA-ALTA/ar-en-beginner,complex_NP_island,0.557,557,1000,main
RA-ALTA/ar-en-fluent,complex_NP_island,0.543,543,1000,main
RA-ALTA/ar-en-advanced,coordinate_structure_constraint_complex_left_branch,0.304,304,1000,main
RA-ALTA/ar-en-phase1-final,complex_NP_island,0.505,505,1000,main
RA-ALTA/zh-en-beginner,coordinate_structure_constraint_complex_left_branch,0.23,230,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_1,0.605,605,1000,main
RA-ALTA/tr-en-fluent,animate_subject_trans,0.804,804,1000,main
RA-ALTA/ar-en-intermediate,complex_NP_island,0.546,546,1000,main
RA-ALTA/ar-en-beginner,coordinate_structure_constraint_complex_left_branch,0.153,153,1000,main
RA-ALTA/ar-en-fluent,coordinate_structure_constraint_complex_left_branch,0.259,259,1000,main
RA-ALTA/ar-en-advanced,coordinate_structure_constraint_object_extraction,0.79,790,1000,main
RA-ALTA/zh-en-beginner,coordinate_structure_constraint_object_extraction,0.817,817,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_2,0.523,523,1000,main
RA-ALTA/ar-en-phase1-final,coordinate_structure_constraint_complex_left_branch,0.211,211,1000,main
RA-ALTA/tr-en-fluent,causative,0.66,660,1000,main
RA-ALTA/ar-en-intermediate,coordinate_structure_constraint_complex_left_branch,0.246,246,1000,main
RA-ALTA/ar-en-beginner,coordinate_structure_constraint_object_extraction,0.73,730,1000,main
RA-ALTA/ar-en-fluent,coordinate_structure_constraint_object_extraction,0.786,786,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_1,0.962,962,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_1,0.94,940,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_irregular_1,0.502,502,1000,main
RA-ALTA/ar-en-phase1-final,coordinate_structure_constraint_object_extraction,0.558,558,1000,main
RA-ALTA/tr-en-fluent,complex_NP_island,0.602,602,1000,main
RA-ALTA/ar-en-intermediate,coordinate_structure_constraint_object_extraction,0.714,714,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_1,0.938,938,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_1,0.976,976,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_2,0.959,959,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_2,0.925,925,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_irregular_2,0.558,558,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_1,0.635,635,1000,main
RA-ALTA/tr-en-fluent,coordinate_structure_constraint_complex_left_branch,0.429,429,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_1,0.948,948,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_2,0.953,953,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_2,0.972,972,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_irregular_1,0.881,881,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_irregular_1,0.805,805,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_with_adj_2,0.535,535,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_2,0.564,564,1000,main
RA-ALTA/tr-en-fluent,coordinate_structure_constraint_object_extraction,0.794,794,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_2,0.959,959,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_irregular_1,0.902,902,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_irregular_1,0.816,816,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_irregular_2,0.937,937,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_irregular_2,0.836,836,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_with_adj_irregular_1,0.495,495,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_irregular_1,0.57,570,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_irregular_1,0.844,844,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_1,0.957,957,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_irregular_2,0.949,949,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_irregular_2,0.9,900,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adj_2,0.917,917,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adj_2,0.868,868,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_with_adj_irregular_2,0.504,504,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_irregular_2,0.585,585,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_irregular_2,0.937,937,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_2,0.926,926,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adj_2,0.936,936,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adj_2,0.905,905,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adj_irregular_1,0.864,864,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adj_irregular_1,0.723,723,1000,main
RA-ALTA/zh-en-phase1-final,determiner_noun_agreement_with_adjective_1,0.538,538,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adj_2,0.508,508,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adj_2,0.917,917,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adj_irregular_1,0.89,890,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_irregular_1,0.865,865,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adj_irregular_1,0.776,776,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adj_irregular_2,0.897,897,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adj_irregular_2,0.821,821,1000,main
RA-ALTA/zh-en-phase1-final,distractor_agreement_relational_noun,0.418,418,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adj_irregular_1,0.527,527,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adj_irregular_1,0.819,819,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adj_irregular_2,0.907,907,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_irregular_2,0.87,870,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adj_irregular_2,0.868,868,1000,main
RA-ALTA/ar-en-advanced,determiner_noun_agreement_with_adjective_1,0.915,915,1000,main
RA-ALTA/zh-en-beginner,determiner_noun_agreement_with_adjective_1,0.853,853,1000,main
RA-ALTA/zh-en-phase1-final,distractor_agreement_relative_clause,0.477,477,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adj_irregular_2,0.89,890,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adj_irregular_2,0.542,542,1000,main
RA-ALTA/ar-en-fluent,determiner_noun_agreement_with_adjective_1,0.934,934,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_with_adj_2,0.852,852,1000,main
RA-ALTA/ar-en-beginner,determiner_noun_agreement_with_adjective_1,0.871,871,1000,main
RA-ALTA/ar-en-advanced,distractor_agreement_relational_noun,0.772,772,1000,main
RA-ALTA/zh-en-phase1-final,drop_argument,0.792,792,1000,main
RA-ALTA/zh-en-beginner,distractor_agreement_relational_noun,0.595,595,1000,main
RA-ALTA/ar-en-intermediate,determiner_noun_agreement_with_adjective_1,0.884,884,1000,main
RA-ALTA/ar-en-fluent,distractor_agreement_relational_noun,0.813,813,1000,main
RA-ALTA/ar-en-phase1-final,determiner_noun_agreement_with_adjective_1,0.555,555,1000,main
RA-ALTA/tr-en-fluent,determiner_noun_agreement_with_adj_irregular_1,0.862,862,1000,main
RA-ALTA/ar-en-beginner,distractor_agreement_relational_noun,0.563,563,1000,main
RA-ALTA/ar-en-advanced,distractor_agreement_relative_clause,0.611,611,1000,main
RA-ALTA/zh-en-beginner,distractor_agreement_relative_clause,0.373,373,1000,main
